message;severity;node;stamp;location
"Passing new path to controller.";"20";"controller_server";"1748015021.530202605";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1025, 1890) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015021.429923164";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015021.429779182";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015020.430232232";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1025, 1890) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015020.379090559";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015020.379008580";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015019.380203781";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1025, 1889) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015019.329109866";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015019.329034799";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015018.330241780";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1028, 1889) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015018.289017328";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015018.288971644";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015017.280211857";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1030, 1889) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015017.229249327";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015017.229172947";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015016.230243909";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1033, 1887) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015016.169262231";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015016.169153741";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015015.180235918";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1036, 1884) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015015.139062530";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015015.138969674";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015014.130205139";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1036, 1879) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015014.089254008";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015014.089196507";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015013.080284750";"./src/controller_server.cpp:updateGlobalPath:703"
"Replanning trajectory (1034, 1875) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015013.049373417";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015013.049289600";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing new path to controller.";"20";"controller_server";"1748015012.080201167";"./src/controller_server.cpp:updateGlobalPath:703"
"Planner loop missed its desired rate of 10.0000 Hz. Current loop rate is 4.5455 Hz";"30";"planner_server";"1748015012.030245634";"./src/planner_server.cpp:computePlan:556"
"Replanning trajectory (1030, 1871) <0> --> (939, 2227) <0>";"20";"planner_server";"1748015011.789325858";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:419"
"Replanning started";"20";"planner_server";"1748015011.789204323";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:398"
"Passing message from ROS geometry_msgs/msg/Twist to Gazebo gz.msgs.Twist (showing msg only once per type)";"20";"ros_gz_bridge";"1748015010.793408916";"./src/factory.hpp:ros_callback:152"
"No progress checker was specified in parameter 'current_progress_checker'. Server will use only plugin loaded progress_checker . This warning will appear once.";"30";"controller_server";"1748015010.779482331";"./src/controller_server.cpp:findProgressCheckerId:422"
"No goal checker was specified in parameter 'current_goal_checker'. Server will use only plugin loaded goal_checker . This warning will appear once.";"30";"controller_server";"1748015010.779447701";"./src/controller_server.cpp:findGoalCheckerId:396"
"Received a goal, begin computing control effort.";"20";"controller_server";"1748015010.779349361";"./src/controller_server.cpp:computeControl:446"
"Planner loop missed its desired rate of 10.0000 Hz. Current loop rate is 0.0339 Hz";"30";"planner_server";"1748015010.765710467";"./src/planner_server.cpp:computePlan:556"
"Generated trajectory of 100 waypoints";"20";"planner_server";"1748015010.765415763";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:362"
"Generating trajectory (1027, 1871) <0> --> (939, 2227) <0>";"20";"planner_server";"1748014975.590195088";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:347"
"Cost of final position (939, 2227) is 0 on (64)";"30";"planner_server";"1748014975.590153659";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:339"
"Cost of start position (1027, 1871) is 0 on (64)";"30";"planner_server";"1748014975.590100843";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:330"
"Planning started";"20";"planner_server";"1748014975.589952868";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:createPlan:308"
"Begin navigating from current location (4.98, 23.56) to (0.58, 41.35)";"20";"bt_navigator";"1748014975.588246925";"./src/navigators/navigate_to_pose.cpp:initializeGoalPose:239"
"Setting goal pose: Frame:map, Position(0.576084, 41.3519, 0), Orientation(0, 0, 0.607594, 0.794248) = Angle: 1.30605";"20";"rviz2";"1748014975.587253644";"./src/main.cpp:operator():77"
"Message Filter dropping message: frame 'odom' at time 12.580 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014968.808592019";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 12.300 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014968.559980533";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 12.020 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014968.258016638";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 11.740 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014967.903831984";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 11.460 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014967.569153067";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 11.170 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014967.236319103";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 10.880 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014966.887022840";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 10.580 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014966.542642446";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 10.300 for reason 'the timestamp on the message is earlier than all the data in the transform cache'";"20";"rviz2";"1748014966.293942157";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"[34m[1mCreating bond timer...[0m[0m";"20";"lifecycle_manager_navigation";"1748014959.470765021";"./src/lifecycle_manager.cpp:message:568"
"[34m[1mManaged nodes are active[0m[0m";"20";"lifecycle_manager_navigation";"1748014959.470727931";"./src/lifecycle_manager.cpp:message:568"
"Server waypoint_follower connected with bond.";"20";"lifecycle_manager_navigation";"1748014959.470643400";"./src/lifecycle_manager.cpp:createBondConnection:237"
"Creating bond (waypoint_follower) to lifecycle manager.";"20";"waypoint_follower";"1748014959.365149942";"./src/lifecycle_node.cpp:createBond:74"
"Activating";"20";"waypoint_follower";"1748014959.365095657";"./src/waypoint_follower.cpp:on_activate:135"
"[34m[1mActivating waypoint_follower[0m[0m";"20";"lifecycle_manager_navigation";"1748014959.364745873";"./src/lifecycle_manager.cpp:message:568"
"Server bt_navigator connected with bond.";"20";"lifecycle_manager_navigation";"1748014959.364651370";"./src/lifecycle_manager.cpp:createBondConnection:237"
"Creating bond (bt_navigator) to lifecycle manager.";"20";"bt_navigator";"1748014959.260901831";"./src/lifecycle_node.cpp:createBond:74"
"Activating";"20";"bt_navigator";"1748014959.199366581";"./src/bt_navigator.cpp:on_activate:147"
"[34m[1mActivating bt_navigator[0m[0m";"20";"lifecycle_manager_navigation";"1748014959.199100391";"./src/lifecycle_manager.cpp:message:568"
"Server behavior_server connected with bond.";"20";"lifecycle_manager_navigation";"1748014959.199026751";"./src/lifecycle_manager.cpp:createBondConnection:237"
"Creating bond (behavior_server) to lifecycle manager.";"20";"behavior_server";"1748014959.093600037";"./src/lifecycle_node.cpp:createBond:74"
"Activating wait";"20";"behavior_server";"1748014959.093535299";"./include/nav2_behaviors/timed_behavior.hpp:activate:170"
"Activating assisted_teleop";"20";"behavior_server";"1748014959.093495264";"./include/nav2_behaviors/timed_behavior.hpp:activate:170"
"Activating drive_on_heading";"20";"behavior_server";"1748014959.093454238";"./include/nav2_behaviors/timed_behavior.hpp:activate:170"
"Activating backup";"20";"behavior_server";"1748014959.093407389";"./include/nav2_behaviors/timed_behavior.hpp:activate:170"
"Activating spin";"20";"behavior_server";"1748014959.093354726";"./include/nav2_behaviors/timed_behavior.hpp:activate:170"
"Activating";"20";"behavior_server";"1748014959.093248638";"./src/behavior_server.cpp:on_activate:197"
"[34m[1mActivating behavior_server[0m[0m";"20";"lifecycle_manager_navigation";"1748014959.092856772";"./src/lifecycle_manager.cpp:message:568"
"Server planner_server connected with bond.";"20";"lifecycle_manager_navigation";"1748014959.092736672";"./src/lifecycle_manager.cpp:createBondConnection:237"
"Creating bond (planner_server) to lifecycle manager.";"20";"planner_server";"1748014958.990325013";"./src/lifecycle_node.cpp:createBond:74"
"D* internal costmap filled, running algorithm";"20";"planner_server";"1748014958.989753087";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:activate:182"
"Trying to create a map of size 1962 x 3063 using 1 swatches";"20";"rviz2";"1748014958.773903448";"./src/main.cpp:operator():77"
"Obtained map [1962, 3063], 0.050000 m/pt, filling D* internal costmap...";"20";"planner_server";"1748014958.639110059";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:activate:146"
"getting costmap";"30";"planner_server";"1748014958.639079272";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:activate:142"
"Activating plugin GridBased of type NavfnPlanner";"20";"planner_server";"1748014958.639012603";"/root/ff_ws/src/DStar-Trajectory-Planner/src/trajectory_planner_plugin.cpp:activate:138"
"Trying to create a map of size 160 x 160 using 1 swatches";"20";"rviz2";"1748014957.745881045";"./src/main.cpp:operator():77"
"Message Filter dropping message: frame 'odom' at time 10.010 for reason 'discarding message because the queue is full'";"20";"rviz2";"1748014957.743623755";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"start";"20";"global_costmap.global_costmap";"1748014957.588009168";"./src/costmap_2d_ros.cpp:start:605"
"Message Filter dropping message: frame 'odom' at time 9.740 for reason 'discarding message because the queue is full'";"20";"rviz2";"1748014957.454845161";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Message Filter dropping message: frame 'odom' at time 9.450 for reason 'discarding message because the queue is full'";"20";"rviz2";"1748014957.134941252";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014957.087802135";"./src/costmap_2d_ros.cpp:on_activate:293"
"[34m[1mCreating bond timer...[0m[0m";"20";"lifecycle_manager_localization";"1748014956.939405940";"./src/lifecycle_manager.cpp:message:568"
"[34m[1mManaged nodes are active[0m[0m";"20";"lifecycle_manager_localization";"1748014956.939374487";"./src/lifecycle_manager.cpp:message:568"
"Server amcl connected with bond.";"20";"lifecycle_manager_localization";"1748014956.939302889";"./src/lifecycle_manager.cpp:createBondConnection:237"
"createLaserObject";"20";"amcl";"1748014956.933057193";"./src/amcl_node.cpp:createLaserObject:1044"
"Message Filter dropping message: frame 'odom' at time 9.160 for reason 'discarding message because the queue is full'";"20";"rviz2";"1748014956.847252797";"/opt/ros/jazzy/include/tf2_ros/tf2_ros/message_filter.h:signalFailure:708"
"Creating bond (amcl) to lifecycle manager.";"20";"amcl";"1748014956.836365932";"./src/lifecycle_node.cpp:createBond:74"
"Setting pose (12.020000): 4.982 23.562 -0.026";"20";"amcl";"1748014956.836051796";"./src/amcl_node.cpp:handleInitialPose:601"
"initialPoseReceived";"20";"amcl";"1748014956.835962597";"./src/amcl_node.cpp:initialPoseReceived:530"
"Activating";"20";"amcl";"1748014956.835928302";"./src/amcl_node.cpp:on_activate:264"
"[34m[1mActivating amcl[0m[0m";"20";"lifecycle_manager_localization";"1748014956.835735027";"./src/lifecycle_manager.cpp:message:568"
"Server map_server connected with bond.";"20";"lifecycle_manager_localization";"1748014956.835695879";"./src/lifecycle_manager.cpp:createBondConnection:237"
"rviz/glsl120/indexed_8bit_image.vert
rviz/glsl120/indexed_8bit_image.frag
 GLSL link result : 
active samplers with a different type refer to the same texture image unit";"40";"rviz2";"1748014956.786183300";"./src/main.cpp:operator():83"
"Trying to create a map of size 1962 x 3063 using 1 swatches";"20";"rviz2";"1748014956.759793560";"./src/main.cpp:operator():77"
"Received a 1962 X 3063 map @ 0.050 m/pix";"20";"amcl";"1748014956.739920431";"./src/amcl_node.cpp:handleMapMessage:1422"
"StaticLayer: Resizing costmap to 1962 X 3063 at 0.050000 m/pix";"20";"global_costmap.global_costmap";"1748014956.739636626";"./plugins/static_layer.cpp:processMap:205"
"Creating bond (map_server) to lifecycle manager.";"20";"map_server";"1748014956.731942682";"./src/lifecycle_node.cpp:createBond:74"
"Activating";"20";"map_server";"1748014956.722231663";"./src/map_server/map_server.cpp:on_activate:131"
"[34m[1mActivating map_server[0m[0m";"20";"lifecycle_manager_localization";"1748014956.721958804";"./src/lifecycle_manager.cpp:message:568"
"Subscribed to map topic.";"20";"amcl";"1748014956.715651428";"./src/amcl_node.cpp:initPubSub:1566"
"initPubSub";"20";"amcl";"1748014956.710427581";"./src/amcl_node.cpp:initPubSub:1548"
"initTransforms";"20";"amcl";"1748014956.702222060";"./src/amcl_node.cpp:initTransforms:1506"
"Configuring";"20";"amcl";"1748014956.702136446";"./src/amcl_node.cpp:on_configure:244"
"[34m[1mConfiguring amcl[0m[0m";"20";"lifecycle_manager_localization";"1748014956.701974392";"./src/lifecycle_manager.cpp:message:568"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014956.587806226";"./src/costmap_2d_ros.cpp:on_activate:293"
"Configuring";"20";"map_server";"1748014956.318359529";"./src/map_server/map_server.cpp:on_configure:83"
"Creating";"20";"map_server";"1748014956.299093658";"./src/map_server/map_server.cpp:MapServer:68"
"
	map_server lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"map_server";"1748014956.298970824";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:159"
"[34m[1mConfiguring map_server[0m[0m";"20";"lifecycle_manager_localization";"1748014956.299688193";"./src/lifecycle_manager.cpp:message:568"
"[34m[1mStarting managed nodes bringup...[0m[0m";"20";"lifecycle_manager_localization";"1748014956.299623052";"./src/lifecycle_manager.cpp:message:568"
"[34m[1mCreating and initializing lifecycle service clients[0m[0m";"20";"lifecycle_manager_localization";"1748014956.270409493";"./src/lifecycle_manager.cpp:message:568"
"Creating";"20";"lifecycle_manager_localization";"1748014956.262510838";"./src/lifecycle_manager.cpp:LifecycleManager:38"
"Creating";"20";"amcl";"1748014956.273545844";"./src/amcl_node.cpp:AmclNode:65"
"
	amcl lifecycle node launched. 
	Waiting on external lifecycle transitions to activate
	See https://design.ros2.org/articles/node_lifecycle.html for more information.";"20";"amcl";"1748014956.270600244";"./src/lifecycle_node.cpp:printLifecycleNodeNotification:159"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014956.087807116";"./src/costmap_2d_ros.cpp:on_activate:293"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014955.587813256";"./src/costmap_2d_ros.cpp:on_activate:293"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014955.087805589";"./src/costmap_2d_ros.cpp:on_activate:293"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014954.587813996";"./src/costmap_2d_ros.cpp:on_activate:293"
"Timed out waiting for transform from base_link to map to become available, tf error: Invalid frame ID \"map\" passed to canTransform argument target_frame - frame does not exist";"20";"global_costmap.global_costmap";"1748014954.087752869";"./src/costmap_2d_ros.cpp:on_activate:293"
"Checking transform";"20";"global_costmap.global_costmap";"1748014954.087694822";"./src/costmap_2d_ros.cpp:on_activate:284"
"Activating";"20";"global_costmap.global_costmap";"1748014954.087665631";"./src/costmap_2d_ros.cpp:on_activate:277"
"Activating";"20";"planner_server";"1748014954.087597631";"./src/planner_server.cpp:on_activate:184"
"[34m[1mActivating planner_server[0m[0m";"20";"lifecycle_manager_navigation";"1748014954.087358099";"./src/lifecycle_manager.cpp:message:568"
"Server smoother_server connected with bond.";"20";"lifecycle_manager_navigation";"1748014954.087285578";"./src/lifecycle_manager.cpp:createBondConnection:237"
"Creating bond (smoother_server) to lifecycle manager.";"20";"smoother_server";"1748014953.984789188";"./src/lifecycle_node.cpp:createBond:74"
"Activating";"20";"smoother_server";"1748014953.984725883";"./src/nav2_smoother.cpp:on_activate:168"
"[34m[1mActivating smoother_server[0m[0m";"20";"lifecycle_manager_navigation";"1748014953.984475839";"./src/lifecycle_manager.cpp:message:568"
"Server controller_server connected with bond.";"20";"lifecycle_manager_navigation";"1748014953.984417813";"./src/lifecycle_manager.cpp:createBondConnection:237"
"Creating bond (controller_server) to lifecycle manager.";"20";"controller_server";"1748014953.880553273";"./src/lifecycle_node.cpp:createBond:74"
"start";"20";"local_costmap.local_costmap";"1748014953.729904952";"./src/costmap_2d_ros.cpp:start:605"
"Checking transform";"20";"local_costmap.local_costmap";"1748014953.729800578";"./src/costmap_2d_ros.cpp:on_activate:284"
"Activating";"20";"local_costmap.local_costmap";"1748014953.729787952";"./src/costmap_2d_ros.cpp:on_activate:277"
"Activating";"20";"controller_server";"1748014953.729747352";"./src/controller_server.cpp:on_activate:262"
"[34m[1mActivating controller_server[0m[0m";"20";"lifecycle_manager_navigation";"1748014953.729562998";"./src/lifecycle_manager.cpp:message:568"
"Created waypoint_task_executor : wait_at_waypoint of type nav2_waypoint_follower::WaitAtWaypoint";"20";"waypoint_follower";"1748014953.728769996";"./src/waypoint_follower.cpp:on_configure:118"
"Configuring";"20";"waypoint_follower";"1748014953.716148872";"./src/waypoint_follower.cpp:on_configure:59"
